State,Confirmed,Deaths,Vaccinations
Alabama,1644533,21032,3186680
Alaska,307655,1486,534221
American Samoa,8320,34,46187
Arizona,2443514,33102,5673778
Arkansas,1006883,13020,2110099
California,12129699,101159,33524344
Colorado,1764401,14181,4823044
Connecticut,976657,12220,3660192
Delaware,330793,3324,859362
District of Columbia,177945,1432,830771
Florida,7574590,86850,17734422
Georgia,3068208,42489,7268285
Guam,61027,420,159091
Hawaii,380608,1841,0
Idaho,521120,5416,1143015
Illinois,4083292,41496,10028720
Indiana,2051104,26115,4339353
Iowa,903991,10725,2230433
Kansas,938184,10066,2222801
Kentucky,1718471,18130,3077814
Louisiana,1573810,18766,2919313
Maine,318130,2928,1311267
Maryland,1365297,16544,5550176
Massachusetts,2224337,24333,7369455
Michigan,3064125,42205,6159312
Minnesota,1778866,14870,4448303
Mississippi,990756,13370,1834587
Missouri,1777380,22870,4258656
Montana,329386,3652,729622
Nebraska,567426,4936,1207525
Nevada,890122,11922,2392412
New Hampshire,378428,3003,1199596
New Jersey,3048984,36015,8021837
New Mexico,670929,9061,1981669
New York,6794738,77157,18384642
North Carolina,3472644,28432,9687255
North Dakota,286950,2470,528855
Northern Mariana Islands,13666,41,46718
Ohio,3400652,41796,7689268
Oklahoma,1290929,17972,2954767
Oregon,963564,9373,3447425
Pennsylvania,3527854,50398,11616475
Rhode Island,460697,3870,1123490
South Carolina,1836568,19600,3658156
South Dakota,279130,3190,742596
Tennessee,2515130,29263,4400855
Texas,8466220,93390,22187661
Utah,1090346,5298,2415586
Vermont,152618,929,621561
Virginia,2291951,23666,7772668
Washington,1928913,15683,6497440
West Virginia,642760,7960,1209722
Wisconsin,2006582,16375,4377367
Wyoming,185385,2004,352511